연번,행정동,주소,위도,경도,데이터기준일자
1,신대방1동,서울특별시 동작구 신대방길 59,37.4885436800,126.9094842000,2024-12-12
2,신대방1동,서울특별시 동작구 신대방길 80,37.4893758400,126.9098258000,2024-12-12
3,신대방1동,서울특별시 동작구 신대방1길 24,37.4867591500,126.9103197000,2024-12-12
4,신대방1동,서울특별시 동작구 신대방1길 38,37.4865441700,126.9096170000,2024-12-12
5,신대방1동,서울특별시 동작구 신대방1길 56,37.4862778900,126.9087450000,2024-12-12
6,신대방1동,서울특별시 동작구 신대방1길 72,37.4860052900,126.9078725000,2024-12-12
7,신대방1동,서울특별시 동작구 신대방1길 96,37.4856572900,126.9065708000,2024-12-12
8,신대방1동,서울특별시 동작구 신대방1길 116-1,37.4854632300,126.9054630000,2024-12-12
9,신대방1동,서울특별시 동작구 신대방1다길 24,37.4866458300,126.9059471000,2024-12-12
10,신대방1동,서울특별시 동작구 신대방2길 21,37.4884874800,126.9131143000,2024-12-12
11,신대방1동,서울특별시 동작구 신대방2길 39,37.4888162400,126.9124845000,2024-12-12
12,신대방1동,서울특별시 동작구 신대방2길 61,37.4892272332,126.9113315970,2024-12-12
13,신대방1동,서울특별시 동작구 신대방6길 13,37.4886963800,126.9107580000,2024-12-12
14,신대방1동,서울특별시 동작구 신대방7길 6-1,37.4878240700,126.9099836000,2024-12-12
15,신대방1동,서울특별시 동작구 신대방11길 23 ,37.4885834100,126.9081937000,2024-12-12
16,신대방1동,서울특별시 동작구 신대방14길 15,37.4897764230,126.9111260574,2024-12-12
17,신대방1동,서울특별시 동작구 신대방14길 21,37.4901181005,126.9113866290,2024-12-12
18,신대방1동,서울특별시 동작구 신대방14가길 34,37.4899667700,126.9127700000,2024-12-12
19,신대방1동,서울특별시 동작구 신대방14가길 55,37.4897550500,126.9136475000,2024-12-12
20,신대방1동,서울특별시 동작구 신대방14가길 60,37.4895803200,126.9138602000,2024-12-12
21,신대방1동,서울특별시 동작구 신대방16길 10,37.4900789888,126.9098280545,2024-12-12
22,신대방1동,서울특별시 동작구 신대방16길 20,37.4905616000,126.9097551000,2024-12-12
23,신대방1동,서울특별시 동작구 신대방16길 41,37.4910235900,126.9087555000,2024-12-12
24,신대방2동,서울특별시 동작구 여의대방로22길 18,37.4975662762,126.9209114241,2024-12-12
25,신대방2동,서울특별시 동작구 여의대방로22가길 25,37.4968503300,126.9208958000,2024-12-12
26,신대방2동,서울특별시 동작구 여의대방로22나길 58,0E-10,0E-10,2024-12-12
27,신대방2동,서울특별시 동작구 여의대방로22나길 78,37.4951749000,126.9233437000,2024-12-12
28,신대방2동,서울특별시 동작구 여의대방로22바길 40,37.4965373300,126.9236624000,2024-12-12
29,신대방2동,서울특별시 동작구 여의대방로22바길 44,37.4968138346,126.9236332639,2024-12-12
30,신대방2동,서울특별시 동작구 여의대방로22사길 15,37.4975681384,126.9245859232,2024-12-12
31,신대방2동,서울특별시 동작구 여의대방로22아길 23 ,37.4964815461,126.9244783419,2024-12-12
32,신대방2동,서울특별시 동작구 여의대방로22자길 3,37.4970719431,126.9245685547,2024-12-12
33,신대방2동,서울특별시 동작구 여의대방로22카길 12,37.4977940000,126.9258278000,2024-12-12
34,신대방2동,서울특별시 동작구 여의대방로22카길 47,37.4962685663,126.9259301022,2024-12-12
35,신대방2동,서울특별시 동작구 여의대방로22카길 57,37.4957125535,126.9260713267,2024-12-12
36,신대방2동,서울특별시 동작구 보라매로9길 5,37.4948656100,126.9267989000,2024-12-12
37,신대방2동,서울특별시 동작구 보라매로7가길 15,37.4940398800,126.9257057000,2024-12-12
38,신대방2동,서울특별시 동작구 보라매로13길 18,37.4963118152,126.9267983187,2024-12-12
39,신대방2동,서울특별시 동작구 보라매로17길 33,37.4975189500,126.9261625000,2024-12-12
40,신대방2동,서울특별시 동작구 국사봉길 34,37.4977550362,126.9294458414,2024-12-12
41,신대방2동,서울특별시 동작구 국사봉2길 27 ,37.4974421400,126.9285846000,2024-12-12
42,신대방2동,서울특별시 동작구 국사봉2나길 19,37.4969902100,126.9296568000,2024-12-12
43,신대방2동,서울특별시 동작구 국사봉2나길 19,37.4969902100,126.9296568000,2024-12-12
44,신대방2동,서울특별시 동작구 국사봉2라길 3,37.4962645900,126.9287013000,2024-12-12
45,신대방2동,서울특별시 동작구 국사봉2바길 23,37.4948975500,126.9295388000,2024-12-12
46,대방동,서울특별시 동작구 여의대방로24라길 7,37.4983456248,126.9223729315,2024-12-12
47,대방동,서울특별시 동작구 여의대방로36길 7,37.5043329042,126.9226572767,2024-12-12
48,대방동,서울특별시 동작구 여의대방로36길 16 ,37.5047485100,126.9237253000,2024-12-12
49,대방동,서울특별시 동작구 여의대방로36길 36-1,37.5055745600,126.9252893000,2024-12-12
50,대방동,서울특별시 동작구 여의대방로36길 101-12,37.5090631906,126.9317385476,2024-12-12
51,대방동,서울특별시 동작구 여의대방로54길 31,37.5125239000,126.9286029000,2024-12-12
52,대방동,서울특별시 동작구 대방동27길 110,37.5002616600,126.9239617000,2024-12-12
53,대방동,서울특별시 동작구 대방동길 57-1,37.5032636803,126.9253164401,2024-12-12
54,대방동,서울특별시 동작구 대방동길 65,37.5038021492,126.9253608026,2024-12-12
55,대방동,서울특별시 동작구 대방동길 67,37.5039437908,126.9252239291,2024-12-12
56,대방동,서울특별시 동작구 대방동길 77,37.5048546800,126.9247555911,2024-12-12
57,대방동,서울특별시 동작구 대방동2길 28 ,37.5023156000,126.9284453000,2024-12-12
58,대방동,서울특별시 동작구 대방동2길 40,37.5028519872,126.9273005172,2024-12-12
59,대방동,서울특별시 동작구 대방동2길 44 ,37.5029689500,126.9267409000,2024-12-12
60,대방동,서울특별시 동작구 대방동7길 27,37.5021033400,126.9256975000,2024-12-12
61,대방동,서울특별시 동작구 대방동7길 76,37.5006897400,126.9246930000,2024-12-12
62,대방동,서울특별시 동작구 대방동15길 12,37.5029406800,126.9240661000,2024-12-12
63,대방동,서울특별시 동작구 대방동15길 20,37.5029578693,126.9233321703,2024-12-12
64,대방동,서울특별시 동작구 대방동15길 24,37.5029886500,126.9228588000,2024-12-12
65,대방동,서울특별시 동작구 대방동15나길 16,37.5035856500,126.9231250000,2024-12-12
66,대방동,서울특별시 동작구 대방동23길 21 ,37.5039466700,126.9240932000,2024-12-12
67,대방동,서울특별시 동작구 등용로 41-1,37.5054375900,126.9340325000,2024-12-12
68,대방동,서울특별시 동작구 등용로 56-1 ,37.5064188395,126.9328526083,2024-12-12
69,대방동,서울특별시 동작구 등용로6길 7,37.5061611700,126.9335217000,2024-12-12
70,대방동,서울특별시 동작구 등용로8가길 2,37.5068895100,126.9334587000,2024-12-12
71,대방동,서울특별시 동작구 알마타길 26,37.5109738200,126.9278769000,2024-12-12
72,대방동,서울특별시 동작구 알마타길 21-24,37.5115585500,126.9281365000,2024-12-12
73,대방동,서울특별시 동작구 상도로11길 1,37.5000426800,126.9292730000,2024-12-12
74,대방동,서울특별시 동작구 상도로11길 4-10,37.5000371693,126.9298572630,2024-12-12
75,대방동,서울특별시 동작구 대방동 404-27,0E-10,0E-10,2024-12-12
76,대방동,서울특별시 동작구 여의대방로28길 56,37.4994285300,126.9234622000,2024-12-12
77,대방동,서울특별시 동작구 상도로 10,37.4997030245,126.9214702058,2024-12-12
78,대방동,서울특별시 동작구 여의대방로24라길 7,37.4983456248,126.9223729315,2024-12-12
79,대방동,서울특별시 동작구 여의대방로24길 52,37.4979856500,126.9231623000,2024-12-12
80,대방동,서울특별시 동작구 여의대방로24길 29,37.4979817300,126.9220000000,2024-12-12
81,대방동,서울특별시 동작구 대방로27길 61-5,0E-10,0E-10,2024-12-12
82,대방동,서울특별시 동작구 대방동 391-354,0E-10,0E-10,2024-12-12
83,대방동,서울특별시 동작구 대방동7길 76,37.5006897400,126.9246930000,2024-12-12
84,대방동,서울특별시 동작구 대방동7길 26,37.5022914200,126.9257749000,2024-12-12
85,대방동,서울특별시 동작구 대방동1길 12,37.5003725852,126.9265486097,2024-12-12
86,대방동,서울특별시 동작구 대방동1길 3,37.5001523411,126.9273611497,2024-12-12
87,대방동,서울특별시 동작구 대방동15길 1,37.5027294200,126.9252317000,2024-12-12
88,노량진1동,서울특별시 동작구 만양로 110,37.5131913107,126.9444377772,2024-12-12
89,노량진1동,서울특별시 동작구 만양로8길 11,37.5085918589,126.9475813662,2024-12-12
90,노량진1동,서울특별시 동작구 만양로8길 33,37.5093358111,126.9469593412,2024-12-12
91,노량진1동,서울특별시 동작구 만양로8길 84,0E-10,0E-10,2024-12-12
92,노량진1동,서울특별시 동작구 만양로10길 15,37.5095564853,126.9464009036,2024-12-12
93,노량진1동,서울특별시 동작구 만양로12가길 1,37.5108838966,126.9471148976,2024-12-12
94,노량진1동,서울특별시 동작구 만양로12가길 24,37.5115370369,126.9483415348,2024-12-12
95,노량진1동,서울특별시 동작구 만양로13길 17,37.5099435316,126.9447811950,2024-12-12
96,노량진1동,서울특별시 동작구 만양로14다길 23,37.5106576789,126.9457776956,2024-12-12
97,노량진1동,서울특별시 동작구 만양로14바길 21-4,37.5111907009,126.9469414020,2024-12-12
98,노량진1동,서울특별시 동작구 만양로14바길 36,37.5107673058,126.9465125781,2024-12-12
99,노량진1동,서울특별시 동작구 만양로16길 6,37.5116078901,126.9448308671,2024-12-12
100,노량진1동,서울특별시 동작구 장승배기로 122,37.5084960897,126.9403779398,2024-12-12
101,노량진1동,서울특별시 동작구 장승배기로 139-2,37.5101548052,126.9399551916,2024-12-12
102,노량진1동,서울특별시 동작구 장승배기로 140,37.5100217710,126.9403982162,2024-12-12
103,노량진1동,서울특별시 동작구 장승배기로 160,37.5117503818,126.9408241612,2024-12-12
104,노량진1동,서울특별시 동작구 장승배기로16길 135,37.5105778653,126.9431281424,2024-12-12
105,노량진1동,서울특별시 동작구 장승배기로20길 54,37.5096567455,126.9427076413,2024-12-12
106,노량진1동,서울특별시 동작구 장승배기로20다길 6-1,37.5097024900,126.9415500975,2024-12-12
107,노량진1동,서울특별시 동작구 장승배기로24길 16-1,37.5099995952,126.9407342679,2024-12-12
108,노량진1동,서울특별시 동작구 장승배기로24길 61,37.5111244783,126.9421460773,2024-12-12
109,노량진1동,서울특별시 동작구 장승배기로24가길 42,0E-10,0E-10,2024-12-12
110,노량진1동,서울특별시 동작구 장승배기로26길 68-3,37.5108914296,126.9431587824,2024-12-12
111,노량진1동,서울특별시 동작구 장승배기로28길 36,37.5122100664,126.9424498393,2024-12-12
112,노량진2동,서울특별시 동작구 장승배기로27길 13,37.5117812228,126.9392789770,2024-12-12
