연번,유형,동명,주소,도로명 주소,X좌표,Y좌표
1,의류수거함,강일동,676-2,강동구 아리수로91길 38 (강일동),127.1727419,37.56548781
2,의류수거함,강일동,675-4,강동구 아리수로93길 9 (강일동),127.174352,37.56523776
3,의류수거함,강일동,675-1,강동구 아리수로93길 27 (강일동),127.1738158,37.56562147
4,의류수거함,상일동,337-7,강동구 상암로81길 14 (상일동) ,127.167804,37.54635078
5,의류수거함,상일동,319-3,강동구 상암로81길 45 (상일동),127.169015,37.54634128
6,의류수거함,상일동,345-2,강동구 상암로81길 32 (상일동),127.1682342,37.54633579
7,의류수거함,상일동,337,강동구 상암로81길 22 (상일동),127.1677459,37.54648553
8,의류수거함,상일동,346-1,"강동구 상암로81길 10-1 (상일동, 태건빌)",127.1680205,37.54621715
9,의류수거함,상일동,452,강동구 상암로81길 10-9 (상일동),127.16835,37.54609332
10,의류수거함,상일동,307,강동구 천호대로219길 30 (상일동),127.1702957,37.54718825
11,의류수거함,상일동,292-3,강동구 천호대로219길 40 (상일동),127.1705738,37.54762271
12,의류수거함,상일동,280-4,강동구 천호대로219길 72 (상일동),127.1711249,37.54896014
13,의류수거함,상일동,199,강동구 천호대로219길 90 (상일동),127.1709456,37.54982389
14,의류수거함,명일1동,305-11,강동구 양재대로151길 8-10 (명일동),127.1435962,37.5543956
15,의류수거함,명일1동,305-24,강동구 양재대로151길 20 (명일동),127.1430223,37.5541031
16,의류수거함,명일1동,312-222,강동구 고덕로38길 34-4 (명일동),127.1424449,37.55313479
17,의류수거함,명일1동,312-31,강동구 고덕로38길 39-10 (명일동),127.1432093,37.5525997
18,의류수거함,명일1동,312-129,"강동구 고덕로38길 40-5 (명일동, 명일그린빌)",127.1423828,37.55262975
19,의류수거함,명일1동,312-180,"강동구 구천면로65길 32 (명일동, 임성아트빌)",127.1415037,37.552308
20,의류수거함,명일1동,312-186,"강동구 양재대로145길 32 (명일동, 청일하이츠빌라)",127.1421398,37.55210537
21,의류수거함,명일1동,289-13,강동구 구천면로 431-6 (명일동),127.1467307,37.55047163
22,의류수거함,명일1동,334-6,강동구 상암로47길 65 (명일동),127.1442075,37.5494262
23,의류수거함,명일1동,345-14,강동구 상암로47길 13 (명일동),127.1438835,37.54708111
24,의류수거함,명일1동,337-30,강동구 양재대로134길 25 (명일동),127.1449508,37.54776462
25,의류수거함,명일1동,342-11,강동구 양재대로134길 34 (명일동),127.1454846,37.54759728
26,의류수거함,명일1동,339-27,강동구 양재대로134길 55 (명일동),127.1466925,37.5478583
27,의류수거함,명일1동,339-11,강동구 양재대로136길 58 (명일동),127.1469032,37.54823826
28,의류수거함,명일1동,338-13,강동구 양재대로136길 44 (명일동),127.1461328,37.5483138
29,의류수거함,명일1동,338-1,강동구 양재대로136길 36 (명일동),127.1457023,37.54835574
30,의류수거함,명일1동,337-1,강동구 양재대로136길 24 (명일동),127.1450568,37.54838712
31,의류수거함,명일1동,337-26,"강동구 상암로49길 34 (명일동, 선샤일빌2차)",127.1450042,37.54804434
32,의류수거함,명일1동,343-1,강동구 상암로49길 12 (명일동),127.1449937,37.54698101
33,의류수거함,명일1동,342-20,"강동구 상암로49길 12-7 (명일동, 대원빌라)",127.1453196,37.5471816
34,의류수거함,명일1동,268-2,강동구 양재대로130길 47 (명일동),127.1458985,37.54603243
35,의류수거함,명일1동,348-1,"강동구 양재대로130길 36 (명일동, 다성이즈빌아파트)",127.1452111,37.54577517
36,의류수거함,명일1동,349-1,강동구 천중로51길 102 (명일동),127.1452155,37.54538775
37,의류수거함,명일1동,268-19,강동구 상암로 210-29 (명일동),127.1460443,37.54515045
38,의류수거함,명일1동,268-20,"강동구 천중로51길 96 (명일동, 동은아트빌)",127.1452868,37.54509092
39,의류수거함,명일2동,257-1,강동구 상암로 257 (명일동),127.1511404,37.54682706
40,의류수거함,명일2동,246-4,강동구 상암로61길 32 (명일동),127.1527672,37.54808218
41,의류수거함,명일2동,91,강동구 상암로63길 36 (명일동),127.1542157,37.54808354
42,의류수거함,명일2동,228,강동구 상암로63길 6 (명일동),127.1541063,37.54674919
43,의류수거함,명일2동,228-10,강동구 상암로67길 5 (명일동),127.1555567,37.54657935
44,의류수거함,명일2동,151,강동구 상암로67길 41 (명일동),127.1556519,37.5481749
45,의류수거함,고덕1동,584-24,강동구 아리수로61길 15 (고덕동),127.1501365,37.56250722
46,의류수거함,고덕1동,664,강동구 아리수로 212-1 (고덕동),127.1517749,37.5617621
47,의류수거함,고덕1동,610,"강동구 아리수로 220-1 (고덕동, 벧엘빌라)",127.1527352,37.56192216
48,의류수거함,고덕1동,542,강동구 아리수로 228 (고덕동),127.1536958,37.56205519
49,의류수거함,고덕1동,567,강동구 아리수로 242 (고덕동),127.1550406,37.56225402
50,의류수거함,고덕1동,558,강동구 아리수로 250 (고덕동),127.1559203,37.56253062
51,의류수거함,고덕1동,556,강동구 아리수로 254-1 (고덕동),127.1563716,37.56265999
52,의류수거함,고덕1동,502-7,강동구 아리수로68길 44 (고덕동),127.156437,37.56087637
53,의류수거함,고덕1동,526,강동구 동남로85길 10-19 (고덕동),127.1560253,37.56225204
54,의류수거함,고덕1동,518,강동구 아리수로68길 10 (고덕동),127.1564429,37.56236315
55,의류수거함,고덕1동,507-4,강동구 동남로85길 41 (고덕동),127.1546948,37.56079184
56,의류수거함,고덕1동,533,강동구 동남로87길 39 (고덕동),127.1545471,37.56184502
57,의류수거함,고덕1동,535,강동구 동남로85길 48-24 (고덕동),127.1541406,37.56176102
58,의류수거함,고덕1동,535-5,강동구 동남로85길 48-8 (고덕동),127.1541593,37.56110338
59,의류수거함,고덕1동,505,강동구 아리수로64길 39 (고덕동),127.154064,37.56052603
60,의류수거함,고덕1동,629-8,강동구 아리수로64길 12 (고덕동),127.1534288,37.5616478
61,의류수거함,고덕1동,633,강동구 아리수로62길 27 (고덕동),127.1524879,37.56076704
62,의류수거함,고덕1동,638,강동구 동남로83길 56-24 (고덕동),127.1526069,37.56025429
63,의류수거함,고덕1동,639,강동구 동남로83길 68-10 (고덕동),127.1530161,37.56010404
64,의류수거함,고덕1동,646,강동구 동남로81길 100 (고덕동),127.1517045,37.55898634
65,의류수거함,고덕1동,649-5,강동구 동남로83길 94 (고덕동),127.1518592,37.55931183
66,의류수거함,고덕1동,649,강동구 동남로83길 90-5 (고덕동),127.1518578,37.55943797
