의류수거함,위치,위도,경도
낙성대동-1,서울특별시 관악구 관악로10길 15,37.4770155647,126.9534911055
낙성대동-2,서울특별시 관악구 관악로10길 6,37.4767208931,126.9529313291
낙성대동-3,서울특별시 관악구 관악로10길 77,37.4765356101,126.9568505838
낙성대동-4,서울특별시 관악구 관악로10길 87,37.4765806204,126.9574854709
낙성대동-5,서울특별시 관악구 관악로12길 16,37.4779870430,126.9532876803
낙성대동-6,서울특별시 관악구 관악로12길 55,37.4779002114,126.9554541191
낙성대동-7,서울특별시 관악구 관악로14가길 28,37.4772696701,126.9556541492
낙성대동-8,서울특별시 관악구 관악로14길 38-9,37.4784551528,126.9545335046
낙성대동-9,서울특별시 관악구 관악로6길 104-7,37.4785984920,126.9540381135
낙성대동-10,서울특별시 관악구 관악로6길 15,37.4747628078,126.9535870127
낙성대동-11,서울특별시 관악구 관악로6길 15,37.4747628078,126.9535870127
낙성대동-12,서울특별시 관악구 관악로6길 21,37.4750698366,126.9534971725
낙성대동-13,서울특별시 관악구 관악로6길 36,37.4756998054,126.9536824152
낙성대동-14,서울특별시 관악구 관악로6길 49,37.4762600000,126.9533183753
낙성대동-15,서울특별시 관악구 관악로6길 50,37.4762762036,126.9535098785
낙성대동-16,서울특별시 관악구 관악로6길 77,37.4775051614,126.9534609554
낙성대동-17,서울특별시 관악구 관악로8길 32,37.4755720933,126.9545098144
낙성대동-18,서울특별시 관악구 관악로8길 43,37.4755600182,126.9552133491
낙성대동-19,서울특별시 관악구 낙성대로3길 11,37.4754445996,126.9602529638
낙성대동-20,서울특별시 관악구 낙성대로3길 21-4,37.4745002840,126.9603510271
낙성대동-21,서울특별시 관악구 낙성대로3길 33-17,37.4740593336,126.9603624520
낙성대동-22,서울특별시 관악구 낙성대로3길 8,37.4756825160,126.9593402743
낙성대동-23,서울특별시 관악구 낙성대로3길 9-21,37.4753334319,126.9608433825
낙성대동-24,서울특별시 관악구 낙성대로4길 18,37.4760998534,126.9580224086
낙성대동-25,서울특별시 관악구 낙성대역4길 34,37.4744804350,126.9605399461
