행정동,지번주소,도로명주소,위도,경도,기준일
중곡1동,중곡동 637-8,천호대로 517,37.5590734,127.0764909,2025-03-04
중곡1동,중곡동 628-15,면목로 67,37.55986555,127.0777663,2025-03-04
중곡1동,중곡동 253-16,긴고랑로2길 49,37.56188143,127.076128,2025-03-04
중곡1동,중곡동 249-28,긴고랑로 6,37.56388575,127.0770085,2025-03-04
중곡1동,중곡동 247-28,긴고랑로6길 24,37.56262313,127.0777829,2025-03-04
중곡1동,중곡동 246-46,긴고랑로6길 19,37.56262811,127.0780283,2025-03-04
중곡1동,중곡동 243-2,긴고랑로 42,37.56263787,127.0807937,2025-03-04
중곡1동,중곡동 163-36,능동로361,37.56175367,127.0817828,2025-03-04
중곡1동,중곡동 163-7,능동로 355,37.56128518,127.0814843,2025-03-04
중곡1동,중곡동 166-22,긴고랑로14길 33,37.56538766,127.0833211,2025-03-04
중곡1동,중곡동 257-28,,37.56131484,127.0793393,2025-03-04
중곡1동,중곡동 244-29,능동로43길 38-3,37.5619289,127.0795667,2025-03-04
중곡1동,중곡동 244-23,긴고랑로10길 18,37.56216213,127.0798917,2025-03-04
중곡1동,중곡동 643-1,면목로 74,37.56022682,127.0788952,2025-03-04
중곡1동,중곡동 274-2,,37.56021301,127.0796112,2025-03-04
중곡1동,중곡동 258-9,능동로41길 30,37.56038982,127.0792947,2025-03-04
중곡1동,중곡동 644-1,천호대로107길 54,37.56003378,127.0796424,2025-03-04
중곡1동,중곡동 646-5,천호대로107길 40,37.55939186,127.0793092,2025-03-04
중곡1동,중곡동 621-2,면목로 75,37.56059031,127.0781817,2025-03-04
중곡1동,중곡동 248-33,,37.5632742,127.0772199,2025-03-04
중곡1동,중곡동 253-16,긴고랑로2길 49,37.56188143,127.076128,2025-03-04
중곡1동,중곡동 238-17,동일로 382,37.56469278,127.0769998,2025-03-04
중곡1동,중곡동 235-4,동일로 392,37.56540343,127.0776322,2025-03-04
중곡1동,중곡동 235-2,동일로 398,37.5658565,127.0777044,2025-03-04
중곡1동,중곡동 235-18,긴고랑로1길 21,37.56501078,127.0776365,2025-03-04
중곡2동,중곡동 119-1,용마산로1길 39,37.55529182,127.0862024,2025-03-04
중곡2동,중곡동 133-10,,37.55641603,127.0840252,2025-03-04
중곡2동,중곡동 133-11,용마산로3길 67-6,37.55650657,127.0842887,2025-03-04
중곡2동,중곡동 130-9,용마산로1길 66,37.556025,127.085031,2025-03-04
중곡2동,중곡동 117-11,용마산로 11,37.55476493,127.0881414,2025-03-04
중곡2동,중곡동 123-37,,37.55657677,127.0873711,2025-03-04
중곡2동,중곡동 126-28,긴고랑로30길 46,37.55772203,127.0870133,2025-03-04
중곡2동,중곡동 54-1,천호대로117길 97,37.55919945,127.0855735,2025-03-04
중곡2동,중곡동 127-10,천호대로117길 98,37.55922938,127.085796,2025-03-04
중곡2동,중곡동 128-46,,37.55844569,127.0853135,2025-03-04
중곡2동,중곡동 128-43,천호대로117길 72,37.55816139,127.0852377,2025-03-04
중곡2동,중곡동 134-54,,37.55700186,127.0852816,2025-03-04
중곡2동,중곡동 130-22,,37.55613071,127.0854969,2025-03-04
중곡2동,중곡동 121-17,용마산로5길 31,37.55745823,127.0861293,2025-03-04
중곡2동,중곡동 126-52,천호대로123길 58,37.55781404,127.086612,2025-03-04
중곡2동,중곡동 126-3,천호대로123길 86-1,37.55902918,127.086412,2025-03-04
