순번,관리번호,행정동,설치장소,경도,위도
1,옥수1,옥수동,서울특별시 성동구 독서당로39길 37,127.0101984,37.541118
2,옥수2,옥수동,서울특별시 성동구 독서당로39길 43,127.0107661,37.54097859
3,옥수3,옥수동,서울특별시 성동구 독서당로39길 46-50,127.0111068,37.54002633
4,옥수4,옥수동,서울특별시 성동구 한림말길 10,127.0121227,37.54107102
5,옥수5,옥수동,서울특별시 성동구 한림말1길 8,127.0165351,37.54199083
6,옥수6,옥수동,서울특별시 성동구 한림말5길 21-1,127.016406,37.54320617
7,옥수7,옥수동,서울특별시 성동구 한림말5길 29,127.016386,37.54387278
8,옥수8,옥수동,서울특별시 성동구 독서당로40길 13,127.0170992,37.54385168
9,옥수9,옥수동,서울특별시 성동구 독서당로40길 7,127.0170571,37.54447305
10,옥수10,옥수동,서울특별시 성동구 독서당로42길 6,127.0170982,37.54478876
11,응봉1,응봉동,서울특별시 성동구 고산자로2길 12-7,127.0366701,37.55224832
12,응봉2,응봉동,서울특별시 성동구 고산자로2길 6-12,127.0358942,37.55186356
13,응봉3,응봉동,서울특별시 성동구 독서당로62길 18,127.0326925,37.55001729
14,응봉4,응봉동,서울특별시 성동구 독서당로62가길 31,127.0332144,37.54903942
15,응봉5,응봉동,서울특별시 성동구 독서당로62가길 38,127.0328199,37.54891905
16,응봉6,응봉동,서울특별시 성동구 독서당로60길 6-1,127.0310257,37.54939093
17,응봉7,응봉동,서울특별시 성동구 독서당로59길 29-3,127.0305956,37.55201847
18,응봉8,응봉동,서울특별시 성동구 독서당로59길 39,127.0316304,37.55251351
19,응봉9,응봉동,서울특별시 성동구 독서당로63길 27,127.0316715,37.55283822
20,응봉10,응봉동,서울특별시 성동구 독서당로63길 35-1,127.0308302,37.55312868
21,응봉11,응봉동,서울특별시 성동구 독서당로63길 41,127.0302497,37.55338522
22,응봉12,응봉동,서울특별시 성동구 독서당로63길 43-23,127.029719,37.55329076
23,응봉13,응봉동,서울특별시 성동구 독서당로63길 53,127.0296006,37.55369526
24,응봉14,응봉동,서울특별시 성동구 독서당로63길 65,127.029127,37.55269121
25,행당1,행당동,서울특별시 성동구 고산자로12길 2-1,127.0348371,37.56012655
26,행당2,행당동,서울특별시 성동구 고산자로8길 22,127.036278,37.55810194
27,행당3,행당동,서울특별시 성동구 고산자로8길 23,127.0363439,37.55825565
28,행당4,행당동,서울특별시 성동구 고산자로8가길 11-1,127.035683,37.55771865
29,행당5,행당동,서울특별시 성동구 고산자로6길 24-19,127.0356559,37.55718681
30,행당6,행당동,서울특별시 성동구 고산자로6길 24,127.0351322,37.55742582
31,행당7,행당동,서울특별시 성동구 왕십리로 267,127.037892,37.55844847
32,행당8,행당동,서울특별시 성동구 고산자로 217,127.0336803,37.55942329
33,행당9,행당동,서울특별시 성동구 왕십리로21가길 15,127.0341413,37.56054436
34,행당10,행당동,서울특별시 성동구 왕십리로 309,127.0346195,37.56120603
35,행당11,행당동,서울특별시 성동구 무학봉길 48,127.0279193,37.56028612
36,행당12,행당동,서울특별시 성동구 행당로11길 6,127.0307629,37.55833618
37,행당13,행당동,서울특별시 성동구 행당로11길 15,127.030583,37.55911861
38,행당14,행당동,서울특별시 성동구 왕십리로21길 57,127.0290199,37.5592049
39,행당15,행당동,서울특별시 성동구 행당로9길 20-1,127.0291449,37.55916989
40,행당16,행당동,서울특별시 성동구 왕십리로21길 58-19,127.0287889,37.55956342
41,행당17,행당동,서울특별시 성동구 왕십리로21길 56-19,127.0289006,37.55968148
42,행당18,행당동,서울특별시 성동구 행당로9길 34,127.0294732,37.56003759
43,행당19,행당동,서울특별시 성동구 마조로1길 45,127.0391877,37.56155861
44,하왕십리1,하왕십리동,서울특별시 성동구 무학봉길 93-5,127.0318863,37.5624902
45,하왕십리2,하왕십리동,서울특별시 성동구 무학봉21길 3,127.0312484,37.56192632
46,하왕십리3,하왕십리동,서울특별시 성동구 무학봉길 73,127.0306696,37.56117371
47,하왕십리4,하왕십리동,서울특별시 성동구 무학봉11길 2,127.0285827,37.56062496
48,하왕십리5,하왕십리동,서울특별시 성동구 무학봉길 69,127.0305123,37.56108232
49,하왕십리6,하왕십리동,서울특별시 성동구 무학봉15라길 11,127.0298878,37.5621134
50,하왕십리7,하왕십리동,서울특별시 성동구 왕십리로 353-10,127.0306176,37.56344392
51,하왕십리8,하왕십리동,서울특별시 성동구 왕십리로 345-2,127.0313327,37.56328759
52,하왕십리9,하왕십리동,서울특별시 성동구 무학봉길 68,127.030131,37.56080887
53,하왕십리10,하왕십리동,서울특별시 성동구 왕십리로21라길 5,127.030884,37.56034651
54,하왕십리11,하왕십리동,서울특별시 성동구 왕십리로21라길 4-1,127.0312126,37.56032217
55,하왕십리12,하왕십리동,서울특별시 성동구 왕십리로31나길 23,127.0284827,37.56310202
56,하왕십리13,하왕십리동,서울특별시 성동구 왕십리로31나길 33,127.0286807,37.56354516
57,하왕십리14,하왕십리동,서울특별시 성동구 왕십리로31가길 23,127.0292965,37.56406381
58,하왕십리15,하왕십리동,서울특별시 성동구 왕십리로31길 9-19,127.0283966,37.56363293
59,하왕십리16,하왕십리동,서울특별시 성동구 왕십리로31길 17,127.027564,37.56324764
60,하왕십리17,하왕십리동,서울특별시 성동구 왕십리로33길 3,127.0273562,37.56442631
61,도선홍익1,도선동,서울특별시 성동구 무학로2길 23-1,127.0325716,37.56376628
62,도선홍익2,도선동,서울특별시 성동구 왕십리로28길 10,127.0318268,37.56447201
63,도선홍익3,도선동,서울특별시 성동구 무학로4길 3,127.031254,37.56499894
64,도선홍익4,홍익동,서울특별시 성동구 무학로8길 8,127.0314738,37.56550532
65,도선홍익5,홍익동,서울특별시 성동구 무학로8길 28-1,127.0339435,37.56534532
66,도선홍익6,홍익동,서울특별시 성동구 무학로10길 28,127.0338609,37.56560595
67,도선홍익7,홍익동,서울특별시 성동구 마장로 210,127.0330268,37.56621184
68,도선홍익8,홍익동,서울특별시 성동구 무학로8길 1-1,127.0311524,37.5658541
69,도선홍익9,홍익동,서울특별시 성동구 왕십리로20길 39,127.0355507,37.56535844
70,도선홍익10,홍익동,서울특별시 성동구 무학로14길 8,127.0309474,37.56769956
71,도선홍익11,홍익동,서울특별시 성동구 무학로14길 21,127.0325713,37.56817239
72,마장1,마장동,서울특별시 성동구 무학로14길 33,127.0336982,37.56856906
73,마장2,마장동,서울특별시 성동구 청계천로10다길 34-14,127.0352379,37.56943763
74,마장3,마장동,서울특별시 성동구 무학로14가길 30,127.0349032,37.56817343
75,마장4,마장동,서울특별시 성동구 고산자로17길 25,127.0343605,37.56812395
76,마장5,마장동,서울특별시 성동구 청계천로10길 15,127.0335929,37.56883851
77,마장6,마장동,서울특별시 성동구 청계천로 500,127.0327655,37.56979586
78,마장7,마장동,서울특별시 성동구 청계천로10가길 14,127.0333978,37.56991817
79,마장8,마장동,서울특별시 성동구 청계천로 506,127.0334391,37.57022486
80,마장9,마장동,서울특별시 성동구 청계천로10가길 62,127.0354977,37.57123283
81,마장10,마장동,서울특별시 성동구 고산자로26길 15,127.0394683,37.57057135
82,마장11,마장동,서울특별시 성동구 마장로39길 44,127.0442127,37.56870859
83,마장12,마장동,서울특별시 성동구 마장로39나길 3,127.0440917,37.56842829
84,마장13,마장동,서울특별시 성동구 마장로46길 12,127.0460925,37.56687663
85,마장14,마장동,서울특별시 성동구 마장로44길 17,127.0461832,37.56597632
86,마장15,마장동,서울특별시 성동구 마조로16길 37,127.0447096,37.56613562
87,마장16,마장동,서울특별시 성동구 마조로16길 31,127.0442366,37.56594257
88,마장17,마장동,서울특별시 성동구 마조로14가길 28,127.0438145,37.5644254
