행정동,도로명주소,지번주소,위도,경도,데이터기준일자
영등포본동,서울특별시 영등포구 신길로 252,서울특별시 영등포구 영등포동 580-8,37.5141173000,126.9117672000,2024-08-23
영등포본동,서울특별시 영등포구 도신로51길 9,서울특별시 영등포구 신길동 186-230,37.5124624458,126.9133785249,2024-08-23
영등포본동,서울특별시 영등포구 영신로9라길 6,서울특별시 영등포구 영등포동 631-8,37.5128401800,126.9058885000,2024-08-23
영등포본동,서울특별시 영등포구 영신로9나길 16,서울특별시 영등포구 영등포동 618-463,37.5135664214,126.9061520051,2024-08-23
영등포본동,서울특별시 영등포구 신길로61길 17,서울특별시 영등포구 영등포동 592-70,37.5146663300,126.9093394000,2024-08-23
영등포본동,서울특별시 영등포구 신길로 276-1,,,,2024-08-23
영등포본동,서울특별시 영등포구 영등포로60길 29,서울특별시 영등포구 신길동 35,37.5167980943,126.9150171867,2024-08-23
영등포본동,서울특별시 영등포구 영등포로60길 17,서울특별시 영등포구 신길동 31-20,37.5168072096,126.9164274936,2024-08-23
영등포본동,서울특별시 영등포구 신길로62나길 9,서울특별시 영등포구 신길동 184-13,37.5147579471,126.9160178254,2024-08-23
영등포본동,서울특별시 영등포구 신길로62길 37,서울특별시 영등포구 신길동 187-14,37.5142850643,126.9154620747,2024-08-23
영등포본동,서울특별시 영등포구 신길로60길 25,서울특별시 영등포구 신길동 186-182,37.5130349967,126.9130827611,2024-08-23
영등포본동,서울특별시 영등포구 신길로62길 17,서울특별시 영등포구 신길동 185-1,37.5148515782,126.9136666876,2024-08-23
영등포본동,서울특별시 영등포구 영등포로 62길 7,,,,2024-08-23
영등포본동,서울특별시 영등포구 도신로65길 5,서울특별시 영등포구 신길동 169-10,37.5129503370,126.9168863799,2024-08-23
영등포본동,서울특별시 영등포구 도신로53길 14,서울특별시 영등포구 신길동 159-1,37.5120035108,126.9150413991,2024-08-23
영등포본동,서울특별시 영등포구 도신로 191,서울특별시 영등포구 신길동 216-10,37.5114065843,126.9123134873,2024-08-23
영등포본동,서울특별시 영등포구 신길로60길 32,서울특별시 영등포구 신길동 186-268,37.5132638670,126.9137180585,2024-08-23
영등포본동,서울특별시 영등포구 영신로20가길 11,서울특별시 영등포구 영등포동 592-57,37.5146813300,126.9090342000,2024-08-23
영등포본동,서울특별시 영등포구 영등포로60길 25,서울특별시 영등포구 신길동 34-5,37.5168255851,126.9155338648,2024-08-23
영등포본동,서울특별시 영등포구 영등포로60길 7,서울특별시 영등포구 신길동 45-21,37.5161698824,126.9167428874,2024-08-23
영등포동,서울특별시 영등포구 국회대로54길 65,서울특별시 영등포구 영등포동2가 28-117,37.5203931000,126.9112306000,2024-08-23
영등포동,서울특별시 영등포구 국회대로54길 37-11,서울특별시 영등포구 영등포동2가 94-268,37.5225718633,126.9098621549,2024-08-23
영등포동,서울특별시 영등포구 국회대로55길 4,서울특별시 영등포구 영등포동7가 94-57,37.5256744088,126.9086176305,2024-08-23
영등포동,서울특별시 영등포구 영신로42길 15,서울특별시 영등포구 영등포동6가 49-19,37.5217728800,126.9031784000,2024-08-23
영등포동,서울특별시 영등포구 영신로40길 11,서울특별시 영등포구 영등포동6가 61-2,37.5213809620,126.9027614588,2024-08-23
영등포동,서울특별시 영등포구 영등포로34길 12,서울특별시 영등포구 영등포동4가 162-1,37.5192599400,126.9020293000,2024-08-23
영등포동,서울특별시 영등포구 영중로27길 3,서울특별시 영등포구 영등포동7가 49-1,37.5240888375,126.9047555220,2024-08-23
영등포동,서울특별시 영등포구 버드나루로15길 7,서울특별시 영등포구 영등포동7가 94-291,37.5259167100,126.9079496000,2024-08-23
영등포동,서울특별시 영등포구 영등포로 264-11,서울특별시 영등포구 영등포동3가 1-32,37.5183685800,126.9106683000,2024-08-23
영등포동,서울특별시 영등포구 경인로114가길 12,서울특별시 영등포구 영등포동1가 76,37.5176415966,126.9137507992,2024-08-23
