연번,행정동,관리번호,설치장소(도로명주소),설치장소(지번주소),위도,경도,관리단체,데이터기준일자
1,화곡1동,화곡1-01,서울특별시 강서구 화곡로26가길 28,서울특별시 강서구 화곡동 1074-4,37.54058582,126.83847512,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
2,화곡1동,화곡1-02,서울특별시 강서구 화곡로24길 28,서울특별시 강서구 화곡동 1081-31,37.53974623,126.83851110,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
3,화곡1동,화곡1-03,서울특별시 강서구 강서로31길 33,서울특별시 강서구 화곡동 1078-9,37.53947239,126.83967826,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
4,화곡1동,화곡1-04,서울특별시 강서구 강서로31길 33,서울특별시 강서구 화곡동 1078-9,37.53947239,126.83967826,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
5,화곡1동,화곡1-05,서울특별시 강서구 강서로31길 27,서울특별시 강서구 화곡동 1078-16,37.53961258,126.84001277,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
6,화곡1동,화곡1-06,서울특별시 강서구 강서로31길 27,서울특별시 강서구 화곡동 1078-16,37.53961258,126.84001277,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
7,화곡1동,화곡1-07,서울특별시 강서구 강서로31길 28-28,서울특별시 강서구 화곡동 1079-35,37.54040274,126.83966846,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
8,화곡1동,화곡1-08,서울특별시 강서구 가로공원로89길 21,서울특별시 강서구 화곡동 400-72,37.53891883,126.84029146,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
9,화곡1동,화곡1-09,서울특별시 강서구 가로공원로 219-11,서울특별시 강서구 화곡동 400-81,37.53828792,126.83987054,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
10,화곡1동,화곡1-10,서울특별시 강서구 가로공원로222-1,서울특별시 강서구 화곡동 367-4,37.53757543,126.84068434,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
11,화곡1동,화곡1-11,서울특별시 강서구 가로공원로 240,서울특별시 강서구 화곡동 367-63,37.53828455,126.84238299,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
12,화곡1동,화곡1-12,서울특별시 강서구 가로공원로 231,서울특별시 강서구 화곡동 400-43,37.53839957,126.84128216,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
13,화곡1동,화곡1-13,서울특별시 강서구 화곡로24길 74,서울특별시 강서구 화곡동 379-12,37.53789107,126.83963254,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
14,화곡1동,화곡1-14,서울특별시 강서구 가로공원로77길 9,서울특별시 강서구 화곡동 379-52,37.53780653,126.83744130,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
15,화곡1동,화곡1-15,서울특별시 강서구 월정로30가길 12,서울특별시 강서구 화곡동 373-48,37.53458461,126.83689096,한국의류자원순환 사회적협동조합 강서지사,2024-04-18
