연번,행정동,주소,데이터기준일자
1,개봉1동,서울특별시 구로구 경인로35길 64-10,2024-06-07
2,개봉1동,서울특별기 구로구 경인로35길64-18,2024-06-07
3,개봉1동,서울특별시 구로구 고척로52마길 33,2024-06-07
4,개봉1동,서울특별시 구로구 고척로52마길29,2024-06-07
5,개봉1동,서울특별시 구로구 고척로52마길 7,2024-06-07
6,개봉1동,서울특별시 구로구 고척로52라길 19-28,2024-06-07
7,개봉1동,서울특별시 구로구 고척로52길74,2024-06-07
8,개봉1동,서울특별시 구로구 고척로52라길5-16,2024-06-07
9,개봉1동,서울특별시 구로구 고척로52라길43,2024-06-07
10,개봉1동,서울특별시 구로구 고척로52라길11-11,2024-06-07
11,개봉1동,서울특별시 구로구 고척로52라길19-4,2024-06-07
12,개봉1동,서울특별시 구로구 고척로52라길5,2024-06-07
13,개봉1동,서울특별시 구로구 고척로27바길7,2024-06-07
14,개봉1동,서울특별시 구로구 고척로20길54,2024-06-07
15,개봉1동,서울특별시 구로구 개봉로23가길91,2024-06-07
16,개봉1동,서울특별시 구로구 개봉로23가길70,2024-06-07
17,개봉1동,서울특별시 구로구 경인로40길32-9,2024-06-07
18,개봉1동,서울특별시 구로구 개봉로24길31,2024-06-07
19,개봉1동,서울특별시 구로구 경인로38길20,2024-06-07
20,개봉2동,서울 구로구 개봉로18길 23,2024-06-07
21,개봉2동,서울 구로구 개봉로15길 10-17,2024-06-07
22,개봉2동,서울 구로구 개봉로15길 18-19,2024-06-07
23,개봉2동,서울 구로구 개봉로15길 46-10,2024-06-07
24,개봉2동,서울 구로구 개봉로15길 58-5,2024-06-07
25,개봉2동,서울 구로구 개봉로15길 70,2024-06-07
26,개봉2동,서울 구로구 개봉로15길 72,2024-06-07
27,개봉2동,서울 구로구 개봉로15길 84-3,2024-06-07
28,개봉2동,서울 구로구 개봉로15길 94,2024-06-07
29,개봉2동,서울 구로구 개봉로15길 74-18,2024-06-07
30,개봉2동,서울 구로구 개봉로17길 83,2024-06-07
31,개봉2동,서울 구로구 개봉로15길 74-27,2024-06-07
32,개봉2동,서울 구로구 개봉로17길 65,2024-06-07
33,개봉2동,서울 구로구 개봉로17길 58,2024-06-07
34,개봉2동,서울 구로구 개봉로17마길 8,2024-06-07
35,개봉2동,서울 구로구 개봉로17길 30-8,2024-06-07
36,개봉2동,서울 구로구 개봉로17가길 15,2024-06-07
37,개봉2동,서울 구로구 개봉로17길 18-11,2024-06-07
38,개봉2동,서울 구로구 개봉로17가길 36,2024-06-07
39,개봉2동,서울 구로구 개봉로17나길 2,2024-06-07
40,개봉2동,서울 구로구 개봉로17다길 6,2024-06-07
41,개봉2동,서울 구로구 개봉로17나길 16,2024-06-07
42,개봉2동,서울 구로구 개봉로17다길 36,2024-06-07
43,개봉2동,서울 구로구 개봉로19길 85,2024-06-07
44,개봉2동,서울 구로구 개봉로17나길 60,2024-06-07
45,개봉2동,서울 구로구 개봉로17다길 62,2024-06-07
46,개봉2동,서울 구로구 개봉로17아길 41,2024-06-07
47,개봉2동,서울 구로구 개봉로17바길 53,2024-06-07
48,개봉2동,서울 구로구 개봉로17바길 70,2024-06-07
49,개봉2동,서울 구로구 개봉로17아길 57,2024-06-07
50,개봉2동,서울 구로구 개봉로17아길 41-22,2024-06-07
51,개봉2동,서울 구로구 개봉로17아길 51-10,2024-06-07
52,개봉2동,서울 구로구 서해안로34가길 50,2024-06-07
53,개봉2동,서울 구로구 개봉로19길 133,2024-06-07
54,개봉2동,서울 구로구 개봉로17나길 100-13,2024-06-07
55,개봉2동,서울 구로구 개봉동 310-1,2024-06-07
56,개봉2동,서울 구로구 서해안로34길 16,2024-06-07
57,개봉2동,서울 구로구 서해안로34길 10-7,2024-06-07
58,개봉2동,서울 구로구 서해안로34길 10,2024-06-07
59,개봉2동,서울 구로구 서해안로34가길 27,2024-06-07
60,개봉2동,서울 구로구 서해안로34가길 13,2024-06-07
61,개봉2동,서울 구로구 서해안로 2378,2024-06-07
62,개봉2동,서울 구로구 서해안로 2368,2024-06-07
63,개봉3동,서울 구로구 개봉로3가길 82-39,2024-06-07
64,개봉3동,서울 구로구 개봉로3가길 88-26,2024-06-07
65,개봉3동,서울 구로구 개봉로1길 158,2024-06-07
66,개봉3동,서울 구로구 개봉로1라길 4-1,2024-06-07
67,개봉3동,서울 구로구 개봉로1다길 33-3,2024-06-07
