연번,관리번호,관리단체,행정동,설치장소(도로명),경도,위도
1,1-지,지체장애인협회,충현동,서대문구 북아현로14가길 43,126.9586116,37.5640076
2,2-지,지체장애인협회,충현동,서대문구 북아현로48,126.9560283,37.5617593
3,3-지,지체장애인협회,충현동,서대문구 북아현로16길 18-2,126.9560981,37.5632466
4,4-지,지체장애인협회,충현동,서대문구 북아현로18길39,126.9562018,37.5639233
5,5-지,지체장애인협회,충현동,서대문구 북아현로68-9,126.9553462,37.5635913
6,6-지,지체장애인협회,충현동,서대문구 북아현로14길40,126.9576384,37.5631791
7,7-지,지체장애인협회,충현동,서대문구 북아현로14길55,126.9578549,37.5638838
8,8-지,지체장애인협회,충현동,서대문구 북아현로18길63-14,126.9575614,37.5638272
9,9-지,지체장애인협회,충현동,서대문구 북아현로20길69,126.9571374,37.5642019
10,10-지,지체장애인협회,충현동,서대문구 북아현로20길45,126.9559116,37.5644433
11,11-지,지체장애인협회,충현동,서대문구 북아현로20길37-5,126.9552065,37.5646803
12,12-지,지체장애인협회,충현동,서대문구 북아현로80-8,126.9542276,37.5642572
13,13-지,지체장애인협회,충현동,서대문구 북아현로24나길100,126.9548056,37.5625864
14,14-지,지체장애인협회,충현동,서대문구 북아현로22나길52,126.955499,37.56562
15,15-지,지체장애인협회,충현동,서대문구 북아현로22나길21-8,126.9540055,37.5663817
16,16-지,지체장애인협회,충현동,서대문구 북아현로22나길8,126.9531822,37.5661671
17,17-지,지체장애인협회,충현동,서대문구 북아현로26길42,126.9519737,37.5667781
18,18-지,지체장애인협회,충현동,서대문구 북아현로11가길30,126.9543333,37.5631769
19,19-지,지체장애인협회,충현동,서대문구 북아현로22길53,126.9556549,37.5649907
20,20-지,지체장애인협회,충현동,서대문구 경기대로7길27,126.9604332,37.5632488
21,21-지,지체장애인협회,충현동,서대문구 경기대로5길6-15,126.9608096,37.5630449
22,22-지,지체장애인협회,충현동,서대문구 경기대로7길34-10,126.960433,37.5640777
23,23-지,지체장애인협회,충현동,서대문구 경기대로5길31,126.9597922,37.5629458
24,24-지,지체장애인협회,충현동,서대문구 경기대로7길48,126.9596423,37.5639627
25,25-지,지체장애인협회,충현동,서대문구 경기대로3길7,126.9611767,37.5618768
26,26-지,지체장애인협회,충현동,서대문구 경기대로3길23,126.9606993,37.5620167
27,27-지,지체장애인협회,충현동,서대문구 경기대로9길15,126.9630072,37.5645509
28,28-지,지체장애인협회,충현동,서대문구 경기대로9길47,126.9613183,37.5639053
29,29-지,지체장애인협회,홍제1동,서대문구 통일로19길21,126.9510326,37.5798077
30,30-지,지체장애인협회,홍제1동,서대문구 모래내로24다길20,126.9427546,37.5831488
31,31-지,지체장애인협회,홍제1동,서대문구 모래내로24다길35-20,126.9421429,37.5831703
32,32-지,지체장애인협회,홍제1동,서대문구 모래내로24다길35,126.9418763,37.5836095
33,33-지,지체장애인협회,홍제1동,서대문구 모래내로24길52,126.9429597,37.5822586
34,34-지,지체장애인협회,홍제1동,서대문구 모래내로24나길15,126.9444522,37.5832
35,35-지,지체장애인협회,홍제1동,서대문구 모래내로24나길22,126.9448261,37.5831763
36,36-지,지체장애인협회,홍제1동,서대문구 모래내로24가길32,126.9449947,37.5840699
37,37-지,지체장애인협회,홍제1동,서대문구 모래내로426,126.9424845,37.5838312
38,38-지,지체장애인협회,홍제1동,서대문구 통일로37다길28,126.9435674,37.585724
39,39-지,지체장애인협회,홍제1동,서대문구 통일로37길39-2,126.9442588,37.586469
40,40-지,지체장애인협회,홍제1동,서대문구 통일로37가길27,126.9446203,37.5865263
41,41-지,지체장애인협회,홍제1동,서대문구 통일로35길46,126.9454968,37.5870027
42,42-지,지체장애인협회,홍제1동,서대문구 통일로35길18,126.9455276,37.5864263
43,43-지,지체장애인협회,홍제1동,서대문구 통일로35길29,126.9451786,37.586279
44,44-지,지체장애인협회,홍제1동,서대문구 통일로37나길12,126.9431122,37.587486
45,45-지,지체장애인협회,홍제1동,서대문구 통일로37나길39,126.9425252,37.5865616
46,46-지,지체장애인협회,홍제1동,서대문구 통일로37나길49,126.9421342,37.5861887
47,47-지,지체장애인협회,홍제1동,서대문구 통일로37나길59,126.9417505,37.5860952
48,48-지,지체장애인협회,홍제1동,서대문구 통일로39길59-7,126.9413899,37.5867767
49,49-지,지체장애인협회,홍제1동,서대문구 통일로39길59-20,126.941096,37.586738
50,50-지,지체장애인협회,홍제1동,서대문구 통일로39길113-16,126.9404501,37.5859754
51,51-지,지체장애인협회,홍제1동,서대문구 통일로39길22-43,126.9422653,37.58892
52,52-지,지체장애인협회,홍제1동,서대문구 통일로39길22-46,126.9416205,37.5896801
53,53-지,지체장애인협회,홍제1동,서대문구 통일로39길38-24,126.9421676,37.5878289
54,54-지,지체장애인협회,홍제1동,서대문구 통일로39길68,126.9413142,37.5873257
55,55-지,지체장애인협회,홍제1동,서대문구 통일로39길80-8,126.9407743,37.5870685
56,56-지,지체장애인협회,홍제1동,서대문구 통일로39길92,126.9405791,37.5864631
57,57-지,지체장애인협회,홍제1동,서대문구 통일로39길102,126.9406084,37.5859948
58,58-지,지체장애인협회,홍제1동,서대문구 통일로39길114,126.9411111,37.585675
59,59-지,지체장애인협회,홍제1동,서대문구 홍제내길152,126.9375139,37.588625
60,60-지,지체장애인협회,홍제1동,서대문구 홍제내길174,126.938675,37.5889869
61,61-지,지체장애인협회,홍제1동,서대문구 홍제내길118,126.936285,37.5874607
62,62-지,지체장애인협회,홍제1동,서대문구 홍제내4길19,126.9375725,37.5876885
63,63-지,지체장애인협회,홍제1동,서대문구 홍제내2길66-10,126.9370323,37.5874584
64,64-지,지체장애인협회,홍제1동,서대문구 홍제내2길56,126.9372112,37.5868203
65,65-지,지체장애인협회,홍제1동,서대문구 홍제내2길67,126.936655,37.5869234
66,66-지,지체장애인협회,홍제1동,서대문구 홍제내2길33,126.9372009,37.5859552
67,67-지,지체장애인협회,홍제1동,서대문구 송죽길57,126.9379336,37.5853851
68,68-지,지체장애인협회,홍제1동,서대문구 송죽길57-8,126.9379947,37.5850703
69,69-지,지체장애인협회,홍제1동,서대문구 홍제내2바길23,126.9378961,37.5848352
70,70-지,지체장애인협회,홍제1동,서대문구 홍제내2길28,126.9370925,37.5856118
71,71-지,지체장애인협회,홍제1동,서대문구 홍제내2마길6,126.9366841,37.5848783
72,72-지,지체장애인협회,홍제1동,서대문구 홍제내2마길11-7,126.9370786,37.584999
73,73-지,지체장애인협회,홍제1동,서대문구 홍제내길46,126.9362586,37.5845411
74,74-지,지체장애인협회,홍제1동,서대문구 홍제내길12,126.9371493,37.5832156
75,75-지,지체장애인협회,홍제1동,서대문구 홍제내2라길13,126.9375526,37.5835166
76,76-지,지체장애인협회,홍제1동,서대문구 홍제내2마길24,126.9372829,37.5841719
77,77-지,지체장애인협회,홍제1동,서대문구 홍제내2마길25,126.9375881,37.5842017
78,78-지,지체장애인협회,홍제1동,서대문구 송죽길8,126.9400339,37.5841876
79,79-지,지체장애인협회,홍제1동,서대문구 송죽길49,126.9383231,37.5850643
80,80-지,지체장애인협회,홍제1동,서대문구 송죽길16,126.9396479,37.5842652
81,81-지,지체장애인협회,홍제2동,서대문구 통일로32길3,126.9490103,37.5851419
82,82-지,지체장애인협회,홍제2동,서대문구 통일로28길3-8,126.9497507,37.5840222
83,83-지,지체장애인협회,홍제2동,서대문구 홍제원6길5,126.9477997,37.5866899
84,84-지,지체장애인협회,홍제2동,서대문구 홍제원길15-12,126.9475192,37.5873091
85,85-지,지체장애인협회,홍제2동,서대문구 통일로36길20-2,126.9471408,37.5876481
86,86-지,지체장애인협회,홍제2동,서대문구 홍제원6길21,126.9484779,37.586768
87,87-지,지체장애인협회,홍제2동,서대문구 홍제원길30,126.948418,37.5870017
88,88-지,지체장애인협회,홍제2동,서대문구 홍제원6안길26,126.9491301,37.5870892
89,89-지,지체장애인협회,홍제2동,서대문구 통일로428-10,126.9463244,37.5877309
90,90-지,지체장애인협회,홍제2동,서대문구 통일로36길11,126.9465405,37.5876608
91,91-지,지체장애인협회,홍제2동,서대문구 통일로36나길4,126.9467638,37.587888
92,92-지,지체장애인협회,홍제2동,서대문구 통일로32길38-5,126.9505322,37.584804
93,93-지,지체장애인협회,홍제2동,서대문구 통일로32길38-3,126.9503951,37.5848929
94,94-지,지체장애인협회,홍제2동,서대문구 통일로36길46,126.9482643,37.5882708
95,95-지,지체장애인협회,홍제2동,서대문구 홍제원길45,126.9486269,37.5874451
96,96-지,지체장애인협회,홍제2동,서대문구 홍제원길22,126.9480012,37.5868539
97,97-지,지체장애인협회,홍제2동,서대문구 홍제원6안길16,126.9486357,37.5868235
98,98-지,지체장애인협회,홍제2동,서대문구 통일로36나길1,126.9465825,37.5878954
99,99-지,지체장애인협회,홍제2동,서대문구 홍제원6길36,126.9490533,37.5861064
100,100-지,지체장애인협회,홍제2동,서대문구 통일로20길40,126.9541009,37.5806008
101,101-지,지체장애인협회,홍제3동,서대문구 간호대로4길12,126.9481465,37.5974423
