데이터기준일,연번,도로명주소,지번주소,경도,위도
2024-04-17,1,서울특별시 성북구 종암로 3길 29-17,서울특별시 성북구 종암동 31-50,127.0347952,37.59236557
2024-04-17,2,서울특별시 성북구 종암로 3길 37-22,서울특별시 성북구 종암동31-37번지 ,127.0341879,37.59203624
2024-04-17,3,서울특별시 성북구 북악산로 27길 24,서울특별시 성북구 종암동31-36번지 ,127.0340189,37.59197178
2024-04-17,4,서울특별시 성북구 종암로 5길 96,서울특별시 성북구 종암동31-61번지 ,127.033377,37.59169622
2024-04-17,5,서울특별시 성북구 종암로 3길 53,서울특별시 성북구 종암동32-4번지 ,127.0332503,37.5927404
2024-04-17,6,서울특별시 성북구 종암로 3길 53,서울특별시 성북구 종암동32-4번지 ,127.0332503,37.5927404
2024-04-17,7,서울특별시 성북구 종암로 3길 47,서울특별시 성북구 종암동32-8번지 ,127.0334311,37.59276891
2024-04-17,8,서울특별시 성북구 종암로 3길 50,서울특별시 성북구 종암동34-9번지 한일주택 ,127.0332566,37.5931279
2024-04-17,9,서울특별시 성북구 종암로 9다길 40-25,서울특별시 성북구 종암동54-442번지 ,127.0323444,37.593616
2024-04-17,10,서울특별시 성북구 종암로 9다길 40-21,서울특별시 성북구 종암동54-327번지 ,127.0320942,37.59370406
2024-04-17,11,서울특별시 성북구 종암로 9다길 37,서울특별시 성북구 종암동54-311번지 ,127.0327235,37.59407864
2024-04-17,12,서울특별시 성북구 종암로 13가길 1,서울특별시 성북구 종암동45-181번지 휴먼팰리스 ,127.032998,37.59649567
2024-04-17,13,서울특별시 성북구 종암로 21다길 14-20,서울특별시 성북구 ,127.0198086,37.59191787
2024-04-17,14,서울특별시 성북구 종암로 19가길 44,서울특별시 성북구 종암동62-4번지 ,127.0319882,37.59839761
2024-04-17,15,서울특별시 성북구 종암로 19가길 32,서울특별시 성북구 종암동62-15번지 노블레스타운 ,127.0312058,37.5984723
2024-04-17,16,서울특별시 성북구 종암로 19가길 10,서울특별시 성북구 종암동62-29번지 ,127.0304467,37.59850211
2024-04-17,17,서울특별시 성북구 종암로 19길 93,서울특별시 성북구 종암동57-39번지 ,127.0296529,37.5977117
2024-04-17,18,서울특별시 성북구 종암로 19길 109,서울특별시 성북구 종암동125-85번지 ,127.0292123,37.59850099
2024-04-17,19,서울특별시 성북구 종암로 19다길 30,서울특별시 성북구 종암동125-59번지 ,127.027824,37.5990212
2024-04-17,20,서울특별시 성북구 종암로 19다길 38,서울특별시 성북구 종암동125-62번지 ,127.0275115,37.59866722
2024-04-17,21,서울특별시 성북구 종암로 19다길 56,서울특별시 성북구 종암동57-159번지 ,127.0275223,37.59783835
2024-04-17,22,서울특별시 성북구 종암로 19라길 26,서울특별시 성북구 종암동125-32번지 성도아트빌 ,127.0282716,37.59856535
2024-04-17,23,서울특별시 성북구 종암로 19라길 14,서울특별시 성북구 종암동125-35번지 유민아트빌 ,127.0285194,37.5986665
2024-04-17,24,서울특별시 성북구 종암로 19라길 5,서울특별시 성북구 종암동125-20번지 성도아트빌 ,127.0284221,37.59917929
2024-04-17,25,서울특별시 성북구 종암로 19다길 1,서울특별시 성북구 종암동78-80번지 ,127.0292218,37.59951925
2024-04-17,26,서울특별시 성북구 종암로 25길 24,서울특별시 성북구 종암동79-179번지 ,127.0316444,37.60045818
2024-04-17,27,서울특별시 성북구 종암로 25길 22-14,서울특별시 성북구 종암동82-9번지 ,127.0317623,37.60097274
2024-04-17,28,서울특별시 성북구 종암로 25길 22-24,서울특별시 성북구 종암동79-530번지 ,127.0318018,37.60142358
2024-04-17,29,서울특별시 성북구 월곡로 13길 7,서울특별시 성북구 종암동112-4번지 ,127.039842,37.60057913
2024-04-17,30,서울특별시 성북구 월곡로 7길 7,서울특별시 성북구 종암동3-1048번지 ,127.0389355,37.59797676
2024-04-17,31,서울특별시 성북구 월곡로 7길 25,서울특별시 성북구 종암동3-337번지 ,127.0381154,37.59833952
