연번,관리단체,행정동,설치장소,위도,경도
1,(사)열린정보장애인협회,송파1동,송파동 18-3,37.506659051679726,127.10801000757587
2,(사)열린정보장애인협회,송파1동,송파동 22-6,37.510190298,127.109457691
3,(사)열린정보장애인협회,송파1동,송파동 21-11,37.507608279,127.106755185
4,(사)열린정보장애인협회,송파1동,송파동 20-5,37.507995126,127.107526228
5,(사)열린정보장애인협회,송파1동,송파동 23-16,37.50785247684778,127.1083520436502
6,(사)열린정보장애인협회,송파1동,송파동 22-21,37.50789732455189,127.10905644481497
7,(사)열린정보장애인협회,송파1동,송파동 16-4,37.504457340,127.112090265
8,(사)열린정보장애인협회,송파1동,송파동 15-6,37.500090795,127.115885064
9,(사)열린정보장애인협회,송파1동,송파동 13-16,37.505714300,127.110805848
10,(사)열린정보장애인협회,송파1동,송파동 15-1,37.508607768,127.108844391
11,(사)열린정보장애인협회,송파1동,송파동 30-7,37.50946316009353,127.10616533681636
12,(사)열린정보장애인협회,송파1동,송파동 31-2,37.51069430723956,127.10696008888053
13,(사)열린정보장애인협회,송파1동,송파동 37-11,37.501929648,127.115264420
14,(사)열린정보장애인협회,송파1동,송파동 36-16,37.509222781,127.106886208
15,(사)열린정보장애인협회,송파1동,송파동 26-7,37.508594661,127.106991165
16,(사)열린정보장애인협회,송파1동,송파동 30-1,37.50975432827622,127.10653872545888
17,(사)열린정보장애인협회,송파1동,송파동 57-8,37.51128916354355,127.10817528414879
18,(사)열린정보장애인협회,송파1동,송파동 55-2,37.51064841063857,127.1090864035267
19,(사)열린정보장애인협회,송파1동,송파동 54-4,37.51068508649381,127.10938231523781
20,(사)열린정보장애인협회,송파1동,송파동 54-8,37.51030666012241,127.10908433867637
21,(사)열린정보장애인협회,송파1동,송파동 39-11,37.50968326161282,127.10849732419302
22,(사)열린정보장애인협회,송파1동,송파동 53-9,37.51007057502943,127.1093667279367
23,(사)열린정보장애인협회,송파1동,송파동 40-9,37.509538575570616,127.1090870404175
24,(사)열린정보장애인협회,송파1동,송파동 41-9,37.508622089324504,127.10885043664723
25,(사)열린정보장애인협회,송파1동,송파동 43-12,37.50915870171268,127.10955499700455
26,(사)열린정보장애인협회,송파1동,송파동 51-6,37.50983157690643,127.1101094241283
27,(사)열린정보장애인협회,송파1동,송파동 48-15,37.51039283426206,127.11096029010727
28,(사)열린정보장애인협회,송파1동,송파동 49-3,37.510044221627034,127.11132234993494
29,(사)열린정보장애인협회,송파1동,송파동 137-11,37.50900216948968,127.11261298428336
30,(사)열린정보장애인협회,송파1동,송파동 136-19,37.509337458807565,127.11238650167344
31,(사)열린정보장애인협회,송파1동,송파동 133-13,37.508146091093636,127.11155972032807
32,(사)열린정보장애인협회,송파1동,송파동 133-3,37.507739778930826,127.11122869283417
33,(사)열린정보장애인협회,송파1동,송파동 134-1,37.50832122921615,127.11133448060987
34,(사)열린정보장애인협회,송파1동,송파동 128-17,37.507090442157036,127.11403897817596
35,(사)열린정보장애인협회,송파1동,송파동 139-18,37.50841896291365,127.11346652566309
36,(사)열린정보장애인협회,송파1동,송파동 144-4,37.507738568284935,127.11430208959146
37,(사)열린정보장애인협회,송파1동,송파동 143-2,37.50715472998289,127.11609233692148
38,(사)열린정보장애인협회,송파1동,송파동 145-10,37.507365076289744,127.11503139938503
39,(사)열린정보장애인협회,송파1동,송파동 94-35,37.503109936216184,127.11231772404248
40,(사)열린정보장애인협회,송파1동,송파동 94-29,37.50322008844607,127.11169435621986
41,(사)열린정보장애인협회,송파1동,송파동 93-10,37.50428503401349,127.11077446362793
42,(사)열린정보장애인협회,송파1동,송파동 91-21,37.504512323744635,127.11015948322755
43,(사)열린정보장애인협회,송파1동,송파동 95-5,37.50363693957476,127.11056308974301
44,(사)열린정보장애인협회,송파1동,송파동 90-8,37.50333610129148,127.10969900151471
