행정동,도로명주소,지번주소,위도,경도,데이터기준일자
목1동,서울특별시 양천구 오목로56길10,서울특별시 양천구 목1동 405-472,37.52369426,126.8736991,2024-09-13
목1동,서울특별시 양천구 목동동로206-1,서울특별시 양천구 목1동 405-207,37.52392536,126.8720147,2024-09-13
목1동,서울특별시 양천구 오목로56길14,서울특별시 양천구 목1동 405-393,37.52330956,126.8735566,2024-09-13
목2동,서울특별시 양천구 목동중앙북로8길120-15,서울특별시 양천구 목2동 29-44,37.54389619,126.8672571,2024-09-13
목2동,서울특별시 양천구 목동중앙북로8길122,서울특별시 양천구 목2동 553,37.54445588,126.8674153,2024-09-13
목2동,서울특별시 양천구 목동중앙북로8길130,서울특별시 양천구 목2동 553-14,37.54446244,126.8677959,2024-09-13
목2동,서울특별시 양천구 목동중앙북로8길138,서울특별시 양천구 목2동 553-16,37.54434899,126.8681073,2024-09-13
목2동,서울특별시 양천구 목동중앙본로27길35,서울특별시 양천구 목2동 553-28,37.54429852,126.8685024,2024-09-13
목2동,서울특별시 양천구 목동중앙본로27길15,서울특별시 양천구 목2동 554,37.5440353,126.8695172,2024-09-13
목2동,서울특별시 양천구 목동중앙본로29길9-1,서울특별시 양천구 목2동 547-17,37.54422902,126.8700191,2024-09-13
목2동,서울특별시 양천구 목동중앙본로29길31,서울특별시 양천구 목2동 548-1,37.54468727,126.8688763,2024-09-13
목2동,서울특별시 양천구 목동중앙북로10길51,서울특별시 양천구 목2동 499-28,37.54493806,126.8687503,2024-09-13
목2동,서울특별시 양천구 목동중앙북로10길40,서울특별시 양천구 목2동 500-4,37.5456223,126.8686912,2024-09-13
목2동,서울특별시 양천구 목동중앙북로8길129-42,서울특별시 양천구 목2동 500-7,37.54628182,126.8687649,2024-09-13
목2동,서울특별시 양천구 목동중앙북로8길129-48,서울특별시 양천구 목2동 500-9,37.54651044,126.8688746,2024-09-13
목2동,서울특별시 양천구 목동중앙북로50-2,서울특별시 양천구 목2동 502-8,37.54722986,126.8686908,2024-09-13
목2동,서울특별시 양천구 목동중앙북로10길33,서울특별시 양천구 목2동 499-34,37.54568447,126.8690939,2024-09-13
목2동,서울특별시 양천구 목동중앙본로31길28,서울특별시 양천구 목2동 505-9,37.54592034,126.8696536,2024-09-13
목2동,서울특별시 양천구 목동중앙본로29길26-20,서울특별시 양천구 목2동 499-16,37.54552246,126.8696555,2024-09-13
목2동,서울특별시 양천구 목동중앙본로29길20-13,서울특별시 양천구 목2동 499-4,37.54520887,126.8697047,2024-09-13
