행정동,도로명주소,지번주소,위도,경도,데이터기준일자
청운동,서울특별시 종로구 자하문로33길 12 (청운동),서울특별시 종로구 청운동 59-3,37.58624225,126.9692556,2024-07-25
청운동,서울특별시 종로구 자하문로33길 22-2 (청운동),서울특별시 종로구 청운동 52-82,37.58634584,126.968811,2024-07-25
청운동,서울특별시 종로구 자하문로33길 90 (청운동),서울특별시 종로구 청운동 56-75,37.58575065,126.966221,2024-07-25
청운동,서울특별시 종로구 자하문로33다길 47-4 (청운동),서울특별시 종로구 청운동 52-111,37.5867401,126.9670895,2024-07-25
창성동,서울특별시 종로구 자하문로12길 33 (창성동),서울특별시 종로구 창성동 109-6,37.58443834,126.9705335,2024-07-25
청운동,서울특별시 종로구 자하문로26길 1 (청운동),서울특별시 종로구 청운동 144-1,37.58072301,126.9720575,2024-07-25
효자동,서울특별시 종로구 자하문로24길 24 (효자동),서울특별시 종로구 효자동 62,37.58285481,126.9711256,2024-07-25
청운동,서울특별시 종로구 자하문로30길 14 (청운동),서울특별시 종로구 청운동 106,37.57565681,126.9620369,2024-07-25
청운동,서울특별시 종로구 자하문로 131-20 (청운동), 서울특별시 종로구 청운동 53-35 ,37.5880935,126.9683746,2024-07-25
신교동,서울특별시 종로구 자하문로21길 9 (신교동),서울특별시 종로구 신교동 17-6,37.57606214,126.9625111,2024-07-25
신교동,서울특별시 종로구 필운대로 110-1 (신교동),서울특별시 종로구 신교동 36-3,37.5748426,126.9623746,2024-07-25
신교동,서울특별시 종로구 필운대로 93 (신교동) , 서울특별시 종로구 신교동 4-2,37.5841596,126.967603,2024-07-25
옥인동,서울특별시 종로구 필운대로 69 (옥인동),서울특별시 종로구 옥인동 56,37.57571911,126.9624605,2024-07-25
옥인동,서울특별시 종로구 필운대로9길 3 (옥인동),서울특별시 종로구 옥인동 47-57,37.572234,126.9648764,2024-07-25
옥인동,서울특별시 종로구 자하문로17길 36 (옥인동),서울특별시 종로구 옥인동 34-1,37.57258331,126.9651742,2024-07-25
옥인동,서울특별시 종로구 옥인5길 7 (옥인동),서울특별시 종로구 옥인동 180,37.57190916,126.9650946,2024-07-25
누상동,서울특별시 종로구 옥인3길 10 (누상동),서울특별시 종로구 누상동 28-1,37.57810462,126.9690959,2024-07-25
누상동,"서울특별시 종로구 옥인3길 18-7 (누상동, 정암빌라)",서울특별시 종로구 누상동 29-24 ,37.5809068,126.9656909,2024-07-25
누상동,서울특별시 종로구 옥인6길 41 (누상동),서울특별시 종로구 누상동 166-22,37.5728231,126.9649815,2024-07-25
누상동,서울특별시 종로구 옥인6길 19 (누상동),서울특별시 종로구 누상동 166-124,37.57606858,126.9688539,2024-07-25
누상동,서울특별시 종로구 옥인6길 15 (누상동),서울특별시 종로구 누상동 166-116,37.57338869,126.9672887,2024-07-25
